L 9356 AP;Vendor;Jenis Kendaraan;Type;Nopol;Sparepart;Jasa; PPN ; Total Biaya ;Keterangan;Biaya Sebelum PPN;PPN Rate;Sparepart %;Jasa %
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1043 BP;4670344;2405630; Rp778.359 ; Rp7.854.333 ;Rusak sedang;7075974;0,11;0,594620065;0,306280622
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Pick Up;TBR54;L 8905 CP;3639272;1635333; Rp580.207 ; Rp5.854.812 ;Rusak sedang;5274605;0,11;0,621586483;0,279314349
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1031 BP;5708108;798000; Rp715.671 ; Rp7.221.779 ;Rusak sedang;6506108;0,11;0,790401922;0,110499089
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 9370 ap;1599665;924000; Rp277.603 ; Rp2.801.268 ;Rusak Ringan;2523665;0,11;0,571050324;0,329850625
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Mini bus;TBR541;L 1658 FP;4488563;3175666; Rp843.065 ; Rp8.507.294 ;Rusak sedang;7664229;0,11;0,527613481;0,37328744
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 9345 AP;2954979;2150829; Rp561.641 ; Rp5.667.449 ;Rusak sedang;5105808;0,11;0,521394899;0,379505665
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 8841 CP;7573268;3200829; Rp1.185.153 ; Rp11.959.250 ;Rusak Berat;10774097;0,11;0,633256099;0,267644627
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Mini bus;TBR541;L 1915 BP;6839995;2919567; Rp1.073.553 ; Rp10.833.115 ;Rusak Berat;9759562;0,11;0,631396879;0,269503924
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Mini bus;TBR541;L 1320 CP;5436845;2356666; Rp857.288 ; Rp8.650.799 ;Rusak Berat;7793511;0,11;0,628478942;0,272421773
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Pick Up;TBR54;L 8847 CP;2238090;798000; Rp333.970 ; Rp3.370.060 ;Rusak Ringan;3036090;0,11;0,664109838;0,236791036
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Pick Up;TBR54;L 9364 AP;1031173;1181600; Rp243.404 ; Rp2.456.177 ;Rusak Ringan;2212773;0,11;0,419828457;0,481072822
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Pick Up;TBR54;L 8902 CP;5180744;1832600; Rp771.468 ; Rp7.784.812 ;Rusak sedang;7013344;0,11;0,665493785;0,235407098
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Pick Up;TBR54;L 9896 NP;6128555;1106297; Rp795.834 ; Rp8.030.686 ;Rusak sedang;7234852;0,11;0,763142152;0,137758717
